,date,address,species,block,street,trap,addressnumberandstreet,latitude,longitude,addressaccuracy,nummosquitos,wnvpresent,year,month,day,dayofweek,week,coordinates,station,tmax,tmin,tavg,depart,dewpoint,wetbulb,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,heatcool,normal
0,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX PIPIENS/RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,29,2,22,"(41.95469, -87.800991)",1,88,60,74,10,58,65,0421,1917,"['BR', 'HZ']",0.00,29.39,30.11,5.8,18,6.5,-9,64
1,2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",CULEX RESTUANS,41, N OAK PARK AVE,T002,"4100  N OAK PARK AVE, Chicago, IL",41.95469,-87.800991,9,1,0,2007,5,29,2,22,"(41.95469, -87.800991)",1,88,60,74,10,58,65,0421,1917,"['BR', 'HZ']",0.00,29.39,30.11,5.8,18,6.5,-9,64
2,2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",CULEX RESTUANS,62, N MANDELL AVE,T007,"6200  N MANDELL AVE, Chicago, IL",41.994991,-87.769279,9,1,0,2007,5,29,2,22,"(41.994991, -87.769279)",1,88,60,74,10,58,65,0421,1917,"['BR', 'HZ']",0.00,29.39,30.11,5.8,18,6.5,-9,64
3,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX PIPIENS/RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,1,0,2007,5,29,2,22,"(41.974089, -87.824812)",1,88,60,74,10,58,65,0421,1917,"['BR', 'HZ']",0.00,29.39,30.11,5.8,18,6.5,-9,64
4,2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",CULEX RESTUANS,79, W FOSTER AVE,T015,"7900  W FOSTER AVE, Chicago, IL",41.974089,-87.824812,8,4,0,2007,5,29,2,22,"(41.974089, -87.824812)",1,88,60,74,10,58,65,0421,1917,"['BR', 'HZ']",0.00,29.39,30.11,5.8,18,6.5,-9,64
5,2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",CULEX RESTUANS,15, W WEBSTER AVE,T045,"1500  W WEBSTER AVE, Chicago, IL",41.9216,-87.666455,8,2,0,2007,5,29,2,22,"(41.9216, -87.666455)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
6,2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",CULEX RESTUANS,25, W GRAND AVE,T046,"2500  W GRAND AVE, Chicago, IL",41.891118,-87.654491,8,1,0,2007,5,29,2,22,"(41.891118, -87.654491)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
7,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX PIPIENS/RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,1,0,2007,5,29,2,22,"(41.867108, -87.654224)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
8,2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",CULEX RESTUANS,11, W ROOSEVELT,T048,"1100  W ROOSEVELT, Chicago, IL",41.867108,-87.654224,8,2,0,2007,5,29,2,22,"(41.867108, -87.654224)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
9,2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",CULEX RESTUANS,11, W CHICAGO,T049,"1100  W CHICAGO, Chicago, IL",41.896282,-87.655232,8,1,0,2007,5,29,2,22,"(41.896282, -87.655232)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
10,2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",CULEX PIPIENS/RESTUANS,21, N STAVE ST,T050,"2100  N STAVE ST, Chicago, IL",41.919343,-87.694259,8,1,0,2007,5,29,2,22,"(41.919343, -87.694259)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
11,2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",CULEX PIPIENS/RESTUANS,22, N CANNON DR,T054,"2200  N CANNON DR, Chicago, IL",41.921965,-87.632085,8,2,0,2007,5,29,2,22,"(41.921965, -87.632085)",2,88,65,77,11,59,66,0421,1917,"['BR', 'HZ']",0.00,29.44,30.09,5.8,16,7.4,-12,66
